Group,Layer,Start,End,Duration
PIG_PTE,test-kgl-indiv_detected,614,626,12
PIG_PTE,test-kgl-indiv_detected,662,668,6
PIG_PTE,test-kgl-indiv_detected,11352,11358,6
PIG_PTE,test-kgl-indiv_detected,11654,11661,7
PIG_PTE,test-kgl-indiv_detected,12643,12651,8
PIG_PTE,test-kgl-indiv_detected,20831,20841,10
PIG_PTE,test-kgl-indiv_detected,21354,21362,8
PIG_PTE,Non_Seizures,1593,1604,11
PIG_PTE,Non_Seizures,5604,5614,10
PIG_PTE,Non_Seizures,8397,8407,10
PIG_PTE,Non_Seizures,11665,11675,10
PIG_PTE,True_Seizures,2845.44,2855.96,10.52
PIG_PTE,True_Seizures,4150.49,4160.89,10.4
PIG_PTE,True_Seizures,12435.33,12446.33,11
