Group,Channels_1,Channels_2,Layer,Start,End,Duration
Jensen_Eisai_groupA,1,5,LL-indiv_detected_seizures,41700,41732,32
Jensen_Eisai_groupA,1,5,LL-indiv_detected_seizures,42434,42467,33
Jensen_Eisai_groupA,1,5,ts-indiv_detected_seizures,41700,41732,32
Jensen_Eisai_groupA,1,5,ts-indiv_detected_seizures,42433,42468,35
Jensen_Eisai_groupA,1,5,LL-global_detected_seizures,41700,41731,31
Jensen_Eisai_groupA,1,5,LL-global_detected_seizures,42437,42467,30
Jensen_Eisai_groupA,1,5,Non_Seizures,6225.524,6283.426,57.902
Jensen_Eisai_groupA,1,5,Non_Seizures,15118.091,15176.969,58.8779999999988
Jensen_Eisai_groupA,1,5,Non_Seizures,39633.952,39683.171,49.2190000000046
Jensen_Eisai_groupA,1,5,Non_Seizures,39697.562,39742.147,44.5849999999991
Jensen_Eisai_groupA,1,5,True_Seizures,41699.645,41730.206,30.5610000000015
Jensen_Eisai_groupA,1,5,True_Seizures,42431.927,42465.846,33.9189999999944
Jensen_Eisai_groupB,3,6,LL-indiv_detected_seizures,39017,39063,46
Jensen_Eisai_groupB,3,6,LL-indiv_detected_seizures,84979,85031,52
Jensen_Eisai_groupB,3,6,LL-indiv_detected_seizures,118555,118602,47
Jensen_Eisai_groupB,3,6,LL-indiv_detected_seizures,166332,166385,53
Jensen_Eisai_groupB,3,6,LL-indiv_detected_seizures,172810,172859,49
Jensen_Eisai_groupB,3,6,LL-indiv_detected_seizures,188180,188214,34
Jensen_Eisai_groupB,3,6,LL-indiv_detected_seizures,432016,432040,24
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,1,39024,39023
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,39062,84999,45937
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,85029,86370,1341
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,86910,118569,31659
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,118598,128122,9524
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,128126,166347,38221
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,166380,172823,6443
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,172854,173358,504
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,173783,188188,14405
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,188213,214749,26536
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,214755,259039,44284
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,259508,301724,42216
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,301727,345586,43859
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,345968,387610,41642
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,387625,432082,44457
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,432506,464180,31674
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,464182,464454,272
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,464465,464662,197
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,464663,465094,431
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,465494,474064,8570
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,474087,474511,424
Jensen_Eisai_groupB,3,6,ts-indiv_detected_seizures,474512,518476,43964
Jensen_Eisai_groupB,3,6,LL-global_detected_seizures,39020,39062,42
Jensen_Eisai_groupB,3,6,LL-global_detected_seizures,84987,85011,24
Jensen_Eisai_groupB,3,6,LL-global_detected_seizures,118559,118585,26
Jensen_Eisai_groupB,3,6,LL-global_detected_seizures,166337,166380,43
Jensen_Eisai_groupB,3,6,LL-global_detected_seizures,172813,172855,42
Jensen_Eisai_groupB,3,6,LL-global_detected_seizures,188187,188214,27
Jensen_Eisai_groupB,1,4,LL-global_detected_seizures,405175,405209,34
Jensen_Eisai_groupB,1,4,LL-global_detected_seizures,472882,472919,37
Jensen_Eisai_groupB,1,4,LL-global_detected_seizures,474122,474150,28
Jensen_Eisai_groupB,3,6,Non_Seizures,22586.1,22602.608,16.5080000000016
Jensen_Eisai_groupB,3,6,Non_Seizures,66786.606,66820.68,34.0739999999932
Jensen_Eisai_groupB,3,6,Non_Seizures,275442.381,275464.497,22.11599999998
Jensen_Eisai_groupB,3,6,Non_Seizures,344671.819,344700.549,28.7299999999814
Jensen_Eisai_groupB,3,6,Non_Seizures,441432.492,441467.73,35.2379999999539
Jensen_Eisai_groupB,3,6,True_Seizures,39008.612,39063.663,55.0509999999995
Jensen_Eisai_groupB,3,6,True_Seizures,84978.779,85033.172,54.3930000000109
Jensen_Eisai_groupB,3,6,True_Seizures,118552.33,118601.983,49.6529999999912
Jensen_Eisai_groupB,3,6,True_Seizures,166329.1,166384.707,55.6069999999891
Jensen_Eisai_groupB,3,6,True_Seizures,188181.74,188215.153,33.4130000000005
Jensen_Eisai_groupB,1,4,True_Seizures,405173.419,405210.147,36.7280000000028
Jensen_Eisai_groupB,1,4,True_Seizures,472862.218,472931.458,69.2399999999907
Jensen_Eisai_groupB,1,4,True_Seizures,473102.212,473124.929,22.7170000000042
Jensen_Eisai_groupB,1,4,True_Seizures,474115.969,474154.177,38.2080000000424
Jensen_Eisai_groupC,4,8,LL-global_detected_seizures,211761,211789,28
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,1,455,454
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,456,521,65
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,522,634,112
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,645,673,28
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,711,862,151
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,885,907,22
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,923,968,45
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,981,1014,33
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,1105,1145,40
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,1168,1318,150
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,1325,1355,30
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,1366,1394,28
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,1529,1561,32
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,1593,1715,122
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,1716,1762,46
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,1903,1935,32
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,2002,2053,51
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,2414,2457,43
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,2458,2481,23
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,2486,2549,63
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,2566,2599,33
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,2713,2743,30
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,2784,2854,70
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,2882,2914,32
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,2921,2943,22
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,2982,3005,23
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,3066,3108,42
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,3153,3178,25
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,3236,3293,57
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,3294,3371,77
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,3386,3478,92
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,3479,3506,27
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,3507,3578,71
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,3587,3647,60
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,3679,3783,104
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,3904,3946,42
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,3965,4002,37
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,4003,4042,39
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,4066,4115,49
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,4132,4182,50
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,4206,4229,23
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,4288,4326,38
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,4361,4404,43
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,4425,4499,74
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,4542,4584,42
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,4602,4646,44
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,4701,4747,46
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,4771,6025,1254
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,6027,6150,123
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,6151,6667,516
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,6668,6809,141
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,6810,7114,304
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,7115,7139,24
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,7140,8013,873
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,8042,8073,31
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,8079,8105,26
Jensen_Eisai_groupD,1,5,ts-global_detected_seizures,8147,8198,51
